Provincia;Partido;Localidad;Link Indec;Otros;0,256 Mbps;0,375 Mbps;0,5 Mbps;0,512 Mbps;0,625 Mbps;0,75 Mbps;1 Mbps;1,25 Mbps;1,5 Mbps;2 Mbps;2,2 Mbps;2,5 Mbps;3 Mbps;3,3 Mbps;3,5 Mbps;4 Mbps;4,5 Mbps;5 Mbps;6 Mbps;6,4 Mbps;7 Mbps;7,5 Mbps;8 Mbps;9 Mbps;10 Mbps;10,2 Mbps;11 Mbps;12 Mbps;12,3 Mbps;13 Mbps;14 Mbps;15 Mbps;16 Mbps;17 Mbps;18 Mbps;20 Mbps;20,5 Mbps;21 Mbps;22 Mbps;23 Mbps;24 Mbps;25 Mbps;25,1 Mbps;25,5 Mbps;26 Mbps;27 Mbps;30 Mbps;31 Mbps;32 Mbps;34 Mbps;35 Mbps;36 Mbps;38 Mbps;39 Mbps;40 Mbps;41 Mbps;45 Mbps;46 Mbps;48 Mbps;49 Mbps;50 Mbps;50,1 Mbps;50,25 Mbps;51 Mbps;55 Mbps;58 Mbps;59 Mbps;60 Mbps;61 Mbps;62 Mbps;64 Mbps;65 Mbps;66 Mbps;70 Mbps;75 Mbps;78 Mbps;80 Mbps;83 Mbps;85 Mbps;90 Mbps;92 Mbps;95 Mbps;100 Mbps;100,25 Mbps;110 Mbps;120 Mbps;122 Mbps;125 Mbps;126 Mbps;130 Mbps;140 Mbps;150 Mbps;157 Mbps;158 Mbps;160 Mbps;164 Mbps;165 Mbps;180 Mbps;200 Mbps;212 Mbps;220 Mbps;225 Mbps;234 Mbps;240 Mbps;250 Mbps;256 Mbps;275 Mbps;300 Mbps;320 Mbps;325 Mbps;330 Mbps;340 Mbps;400 Mbps;450 Mbps;480 Mbps;500 Mbps;512 Mbps;520 Mbps;540 Mbps;600 Mbps;680 Mbps;700 Mbps;800 Mbps;850 Mbps;900 Mbps;950 Mbps;1000 Mbps;1024 Mbps;Total general
BUENOS AIRES;Pergamino;Juan Anchorena  (Est. Urquiza);6623050;;;;;;;;63 ;;;1 ;;;5 ;;;;;;228 ;;;;;;18 ;;;;;;;;;;;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;316 
BUENOS AIRES;Pergamino;La Violeta;6623060;;;;;;;;346 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;346 
BUENOS AIRES;Pergamino;Manuel Ocampo;6623070;;;;;;;;;;;;;;;;;;;374 ;;;;;;;118 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;492 
BUENOS AIRES;Pergamino;Mariano H. Alfonzo  (Est. San Patricio);6623090;;;;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1 
BUENOS AIRES;Pergamino;Pergamino;6623100;14 ;;;3 ;1 ;;95 ;;;;;;;;;1.213 ;;;252 ;1 ;;;;918 ;;170 ;;;;;;;499 ;;;;11 ;;;;;;1 ;;;;;16 ;;;;;;;;;;;;;;1.237 ;;;;;;;;;;;;;;;;;;;;;;10.286 ;;;;;;;;;;;;;;;;;;;;;;;;;7.668 ;;;;;;;;691 ;;;;;;;;;;;15 ;;23.091 
BUENOS AIRES;Pergamino;Pinzó;6623110;;;;;;;;;;;;;;;;;;;;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1 
BUENOS AIRES;Pergamino;Rancagua;6623120;;;;;;;;;;;109 ;;;;;;;;102 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;211 
BUENOS AIRES;Pergamino;Villa San Jos�;6623140;;;;;;;;;;;;;;15 ;;;;;3 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18 
BUENOS AIRES;Pila;Casalins;6630010;;;;;;;;12 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12 
BUENOS AIRES;Pila;Pila;6630020;;;;;;;;;;;;;;;;;;;;11 ;;;;19 ;;;;;15 ;;;;12 ;;;;4 ;;;;;;;;;;;10 ;;;;;;;;;;;;;;3 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;74 
BUENOS AIRES;Pilar;Del Viso;6638040;2 ;;;;;;;46 ;;;143 ;;;526 ;;;6 ;;31 ;1.493 ;;;;202 ;;2.033 ;;;683 ;;;;11 ;;;;670 ;;;;;;368 ;;;;;2.566 ;;;;;;;;352 ;;;;;;5.114 ;;;;;;;1.255 ;;;;;;;291 ;;;;;;;;3.254 ;;;;;;;;;463 ;;;;;;;89 ;;;;;;;;;2.322 ;;;;;;;;231 ;;;;308 ;;;;;;;147 ;;22.606 
BUENOS AIRES;Pilar;Fátim;6638040;11 ;;;;;;4 ;;;;;;;357 ;;27 ;;;;1 ;;;;7 ;;;;;;;;;3 ;;;;6 ;;;;;;;;;;;11 ;;;;;;;;;;;;;;2.563 ;;;;;;;7 ;;;;;;;;;;;;;;;23 ;;;;;;;;;2 ;;;;;;;;;;;;;;;;31 ;;;;;;;;5 ;;;;;;;;;;;17 ;;3.075 
BUENOS AIRES;Pilar;La Lonja;6638040;83 ;;;;;;;124 ;;;30 ;;;444 ;;;5 ;;;588 ;;;;55 ;;952 ;;;60 ;;;;5 ;;;;56 ;;;;;;33 ;;;;;109 ;;;;;;;;151 ;;;;;;271 ;;;;;;;120 ;;;;;;;11 ;;;;;;;;714 ;;;;;;;;;54 ;;;;;;;147 ;;;;;;;13 ;;907 ;;;;;1 ;;;201 ;22 ;;;43 ;;;;;;;11 ;;5.210 
BUENOS AIRES;Pilar;Los Cachorros;6638040;;;;;;;;;;;;;;;;;;;2 ;;;;;;;83 ;;;;;;;;;;;;;;;;;2 ;;;;;;;;;;;;;;;;;;;6 ;;;;;;;1.631 ;;;;;;;319 ;;;;;;;;127 ;;;;;;;;;658 ;;;;;;;;;;;;;;;;164 ;;;;;;;;68 ;;;;;;;;;;;214 ;;3.274 
BUENOS AIRES;Pilar;Manuel Alberti;6638040;;;;;;;;;;;;;;;;;;;;;;;;;;2 ;;;;;;;;;;;1 ;;;;;;;;;;;;;;;;;;;;;;;;;95 ;;;;;;;;;;;;;;;;;;;;;;619 ;;;;;;;;;;;;;;;;;;;;;;;;;1.050 ;;;;;;;;612 ;;;;;;;;;;;;;2.379 
BUENOS AIRES;Pilar;Manzanares;6638040;;;;;;;;;;;;;;;;;;;;3 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;3 ;;;;;;;;;;;;;;;;;;;;;396 ;;;;;;;1 ;;;;;;;;;;;;;;;;;103 ;;;;;;;;;;;;;;;;46 ;;;;;;;;25 ;;;;;;;;;;;120 ;;697 
BUENOS AIRES;Pilar;Maquinista F. Savio (oeste);6638040;;;;;;;;;;;;;;5 ;;;;;;49 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54 
BUENOS AIRES;Pilar;OTROS;Sin Datos;;;;;;;;;;;;;;31 ;;;;;;237 ;;;;;;;;;;;;;1 ;;;;;;;;;;;;;;;5 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;274 
BUENOS AIRES;Pilar;Pilar;6638040;126 ;;;9 ;2 ;;44 ;83 ;;;341 ;;;256 ;;238 ;10 ;;19 ;1.410 ;;;;375 ;;3.340 ;;;132 ;;;;389 ;;;;9.134 ;;;;;;114 ;;;;;10.750 ;;;;;;;;23 ;;;;;;2.572 ;;;;;;;4.850 ;;;;;;;1.168 ;;;;;;;;3.250 ;;;;;;;;;2.373 ;;;;;;;211 ;;;;;;;;;1.572 ;;;;;;;;514 ;;;;13 ;;;;;;;614 ;;43.932 
BUENOS AIRES;Pilar;Presidente Derqui;6638040;;;;;;;;;;;;;;14 ;;;1.564 ;;9 ;239 ;;;;;;512 ;;;;;;;;;;;;;;;;;24 ;;;;;5 ;;;;;;;;;;;;;;28 ;;;;;;;2.125 ;;;;;;;468 ;;;;;;;;1.244 ;;;;;;;;;1.151 ;;;;;;;;;;;;;;;;307 ;;;;;;;;110 ;;;;;;;;;;;218 ;;8.018 
BUENOS AIRES;Pilar;Santa Teresa;6638040;;;;2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2 
BUENOS AIRES;Pilar;Tortuguitas;6638040;;;;;2 ;;;;;;;;;1 ;;;;;;2 ;;;;;;;;;;;;;;;;;5 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10 
BUENOS AIRES;Pilar;Villa Astolfi;6638040;;;;;;;;;;;;;;1 ;;;;;;8 ;;;;;;20 ;;;;;;;;;;;;;;;;;25 ;;;;;1 ;;;;;;;;;;;;;;3 ;;;;;;;690 ;;;;;;;130 ;;;;;;;;190 ;;;;;;;;;255 ;;;;;;;;;;;;;;;;58 ;;;;;;;;29 ;;;;;;;;;;;55 ;;1.465 
BUENOS AIRES;Pilar;Villa Rosa;6638040;11 ;;;;;;17 ;;;;4 ;;;71 ;;160 ;;;4 ;397 ;;;;142 ;;113 ;;;3 ;;;;158 ;;;;365 ;;;;;;22 ;;;;;9 ;;;;;;;;;;;;;;295 ;;;;;;;1.587 ;;;;;;;366 ;;;;;;;;1.953 ;;;;;;;;;767 ;;;;;;;58 ;;;;;;;;;1.915 ;;;;;;;;619 ;;;;7 ;;;;;;;135 ;;9.178 
BUENOS AIRES;Pilar;Zelaya;6638040;;;;;;;;;;;;;;6 ;;;;;;7 ;;;;;;19 ;;;;;;;3 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5 ;;;;;;;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2 ;;43 
BUENOS AIRES;Pinamar;Carilo;6644010;;;;;;;;22 ;;;1 ;;;;;;;;1 ;;;;;;;5 ;;;;;;;;;;;1 ;;;;;;;;;;;;;;;;;;;;;;;;;111 ;;;;;;;;;;;;;;;;;;;;;;335 ;;;;;;;;;;;;;;;;;;;;;;;;;250 ;;;;;;;;16 ;;;;;;;;;;;;;742 
BUENOS AIRES;Pinamar;Pinamar;6644010;1.000 ;;;2 ;1 ;;3 ;72 ;;;1 ;;;38 ;;21 ;;;3 ;278 ;;;;19 ;;8.705 ;;;;;;;94 ;;;;20 ;;;;;;;;;;;14.812 ;;;;;;;;;;;;;;207 ;;;;;;;;;;;;;;;;;;;;;;1.406 ;;;;;;;;;;;;;;;;;;;;;;;;;1.037 ;;;;;;;;85 ;;;;;;;;;;;;;27.804 
BUENOS AIRES;Presidente Peró;Guernica;6648010;4 ;;;;;;5 ;;;;42 ;;;49 ;;42 ;15 ;;26 ;;;3 ;;14 ;;460 ;;;;;;;19 ;;;;3 ;;;;;;20 ;;;;;6.319 ;;;;;;;;;;;;;;153 ;;;;;;;5.816 ;;;;;;;1.143 ;;;;;;;;2.357 ;;;;;;;;;2.382 ;;;;;;;;;;;;;;;;559 ;;;;;;;;187 ;;;;;;;;;;;259 ;;19.877 
BUENOS AIRES;Puá;Bordenave;6651020;;;;1 ;;;;;;141 ;;;;17 ;;;;;1 ;;;;;;;;;;;;;;166 ;;;;;;;;;;4 ;;;;;;;;;;;;;;;;;;;2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;332 
BUENOS AIRES;Puá;Darregueira;6651030;2.142 ;;;;;;;;;;;;;;;11 ;;;;;;;;30 ;;;;;;;;;198 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.382 
BUENOS AIRES;Puá;Puá;6651080;;;;1 ;;;;;;;;;;;;;;;;;;;;;;1.103 ;;;;;;;;;;;765 ;;;;;;;;;;;324 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.193 
BUENOS AIRES;Puá;San Germá;6651090;;;;;;;;;;;;;;17 ;;;;;;36 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53 
BUENOS AIRES;Puá;Villa Iris;6651110;;;;;;;;;;;;;;;;;;;;;;;;;;104 ;;;711 ;;;;;;;;;;;;;24 ;;;;;;;;;;;4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;843 
BUENOS AIRES;Punta Indio;Pipinas;6655030;;;;;;;;;;;;;;;;;114 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;114 
BUENOS AIRES;Punta Indio;Punta Indio;6655040;;;;;;;;;;;;;;;;;;;78 ;;;;;;;30 ;;;;;;;7 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;115 
BUENOS AIRES;Punta Indio;Verónic;6655050;;;;;;;;;;;;;;;;28 ;816 ;;;;;;;75 ;;;;;;;;;127 ;;;;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.047 
BUENOS AIRES;Quilmes;Bernal;6658010;;;;3 ;1 ;;17 ;5 ;;;1 ;;;4 ;;45 ;;;4 ;3 ;;;;44 ;;1.425 ;;;;;;;52 ;;;;5 ;;;;;;155 ;;;;;9.553 ;;;;;;;;;;;;;;611 ;;;;;;;4.924 ;;;;;;;998 ;;;;;;;;5.746 ;;;;;;;;;2.698 ;;;;;;;;;;;;;;;;3.498 ;;;;;;;;748 ;;;;;;;;;;;386 ;;30.926 
BUENOS AIRES;Quilmes;Bernal Oeste;6658010;;;;;;;3 ;21 ;;;1 ;;;13 ;;59 ;171 ;;1 ;230 ;;;;120 ;;474 ;;;83 ;;;;84 ;;;;75 ;;;1 ;;;1 ;;;;;576 ;;;;;;;;1 ;;;;;;198 ;;;;;;;;;;;;;;;;;;;;;;1.453 ;;;;;;;;;;;;;;;;;;;;;;;;;1.702 ;;;;;;;;275 ;;;;;;;;;;;4 ;;5.546 
BUENOS AIRES;Quilmes;Don Bosco;6658010;;;;;;;;2 ;;;;;;1 ;;4 ;;;;1 ;;;;1 ;;58 ;;;;;;;;;;;2 ;;;;;;3 ;;;;;3 ;;;;;;;;;;;;;;157 ;;;;;;;398 ;;;;;;;109 ;;;;;;;;1.011 ;;;;;;;;;275 ;;;;;;;;;;;;;;;;755 ;;;;;;;;170 ;;;;;;;;;;;79 ;;3.029 
BUENOS AIRES;Quilmes;Ezpeleta;6658010;;;;;;;2 ;3 ;;;;;;320 ;;19 ;;;4 ;13 ;;;;24 ;;458 ;;;;;;;69 ;;;;;;;;;;16 ;;;;;2.564 ;;;;;;;;;;;;;;204 ;;;;;;;3.554 ;;;;;;;850 ;;;;;;;;3.263 ;;;;;;;;;1.753 ;;;;;;;;;;;;;;;;2.545 ;;;;;;;;468 ;;;;;;;;;;;301 ;;16.430 
BUENOS AIRES;Quilmes;Ezpeleta Oeste;6658010;;;;;;;3 ;;;;;;;9 ;;9 ;;;;55 ;;;;7 ;;25 ;;;;;;;30 ;;;;34 ;;;;;;;;;;;3.847 ;;;;;;;;;;;;;;52 ;;;;;;;;;;;;;;;;;;;;;;617 ;;;;;;;;;;;;;;;;;;;;;;;;;703 ;;;;;;;;98 ;;;;;;;;;;;1 ;;5.490 
BUENOS AIRES;Quilmes;Quilmes;6658010;3 ;1 ;;8 ;2 ;;18 ;42 ;;;10 ;;;37 ;;54 ;136 ;;44 ;271 ;;;;38 ;;1.970 ;;;;;;;32 ;;;;222 ;;;;;;122 ;;;;;12.027 ;;;;;;;;;;;;;;2.019 ;;;;;;;9.855 ;;;;;;;2.110 ;;;;;;;;14.755 ;;;;;;;;;4.961 ;;;;;;;;;;;;;;;;10.147 ;;;;;;;;1.976 ;;;;;;;;;;;942 ;;61.802 
BUENOS AIRES;Quilmes;Quilmes Oeste;6658010;;;;7 ;;;22 ;21 ;;;2 ;;;10 ;;52 ;;;2 ;107 ;;;;15 ;;51 ;;;;;;;33 ;;;;35 ;;;;;;;;;;;13.639 ;;;;;;;;;;;;;;482 ;;;;;;;;;;;;;;;;;;;;;;3.039 ;;;;;;;;;;;;;;;;;;;;;;;;;3.540 ;;;;;;;;538 ;;;;;;;;;;;7 ;;21.602 
BUENOS AIRES;Quilmes;San Francisco Solano;6658010;;;;;;;1 ;7 ;;;1 ;;;12 ;;;114 ;;11 ;30 ;;;;;;482 ;;;;;;;;;;;2 ;;;;;;21 ;;;;;11 ;;;;;;;;;;;;;;253 ;;;;;;;3.714 ;;;;;;;743 ;;;;;;;;2.549 ;;;;;;;;;1.665 ;;;;;;;;;;;;;;;;1.433 ;;;;;;;;269 ;;;;;;;;;;;290 ;;11.608 
BUENOS AIRES;Quilmes;Villa La Florida;6658010;;;;3 ;;;4 ;;;;;;;;;15 ;114 ;;2 ;1 ;;;;4 ;;141 ;;;;;;;3 ;;;;3 ;;;;;;11 ;;;;;6.948 ;;;;;;;;;;;;;;83 ;;;;;;;1.729 ;;;;;;;454 ;;;;;;;;965 ;;;;;;;;;669 ;;;;;;;;;;;;;;;;928 ;;;;;;;;143 ;;;;;;;;;;;101 ;;12.321 
BUENOS AIRES;Ramallo;EL PARAÍS;6665010;30 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30 
BUENOS AIRES;Ramallo;OTROS;Sin Datos;10 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10 
BUENOS AIRES;Ramallo;Pérez Mill�;6665030;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1 
BUENOS AIRES;Ramallo;Ramallo;6665040;1.177 ;;;;1 ;;;2 ;;;;;;10 ;;;;;;64 ;;;;;;260 ;;;;;;;40 ;;;;8 ;;;;;;;;;;;1 ;;;;;;;;;;;;;;149 ;;;;;;;;;;;;;;;;;;;;;;483 ;;;;;;;;;;;;;;;;;;;;;;;;;477 ;;;;;;;;21 ;;;;;;;;;;;;;2.693 
BUENOS AIRES;Ramallo;VILLA RAMALLO;6665060;327 ;;;;;;;2 ;;;;;;10 ;;;;;;83 ;;;;;;236 ;;;;;;;168 ;;;;;;;;;;;;;;;2 ;;;;;;;;;;;;;;385 ;;;;;;;;;;;;;;;;;;;;;;913 ;;;;;;;;;;;;;;;;;;;;;;;;;614 ;;;;;;;;26 ;;;;;;;;;;;;;2.766 
BUENOS AIRES;Rauch;OTROS;Sin Datos;;;;;;;;11 ;;;19 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30 
BUENOS AIRES;Rauch;Rauch;6672010;;;;2 ;;;;76 ;;;9 ;;;8 ;;101 ;21 ;;;;;;;341 ;;200 ;;;;;;;746 ;;;;105 ;;;;;;;;;;;3 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.612 
BUENOS AIRES;Rivadavia;Améric;6679010;511 ;;;1 ;;;;852 ;;;898 ;;;155 ;;521 ;320 ;;6 ;52 ;;;;58 ;;146 ;;;;;;;87 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;487 ;;;;;;;;;;;;4.094 
BUENOS AIRES;Rivadavia;Fortín Olavarr�;6679020;147 ;;;;;;;75 ;;;;;;125 ;;;;;;;;;;;;39 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;91 ;;;;;;;;;;;;477 
BUENOS AIRES;Rivadavia;González Moren;6679030;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1 
BUENOS AIRES;Rivadavia;Sansinena;6679070;;;;;;;;124 ;;;;;;175 ;;;;;;;;;;;;32 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40 ;;;;;;;;;;;;371 
BUENOS AIRES;Rojas;Las Carabelas;6686020;;;;1 ;;;;40 ;;;48 ;;;66 ;;;25 ;;35 ;20 ;;;;6 ;;;;2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;243 
BUENOS AIRES;Rojas;Rafael Obligado;6686040;;;;;;;;;;;8 ;;;11 ;;;;;7 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26 
BUENOS AIRES;Rojas;Rojas;6686060;153 ;;;;;;7 ;478 ;;;201 ;;;2.467 ;;269 ;;;374 ;697 ;;;;281 ;;50 ;;;287 ;;;;322 ;;;;30 ;;;;;;;;;;;10 ;;;;;;;;;;;;;;39 ;;;;;;;;;;;;;;;;;;;;;;580 ;;;;;;;;;;;;;;;;;;;;;;;;;491 ;;;;;;;;27 ;;;;;;;;;;;2 ;;6.765 
BUENOS AIRES;Roque Pére;Carlos Beguerie;6693010;;;;;;;;;;;;;;;;;;;34 ;2 ;;;;1 ;;148 ;;;;;;;;;;;3 ;;;;;;;;;;;;;;;;;;;;;;;;;7 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;195 
BUENOS AIRES;Roque Pére;Roque Pére;6693020;;;;;;;;;;;;;;;;19 ;;;247 ;18 ;;8 ;;51 ;;24 ;;;;;;;131 ;;;;12 ;;;;;;;;;;;;;;;;;;;;;;;;;80 ;;;;;;;;;;;;;;;;;;;;;;359 ;;;;;;;;;;;;;;;;1.615 ;;;;;;;;;86 ;;;;;;;;3 ;;;;;;;;;;;;;2.653 
BUENOS AIRES;Saavedra;Arroyo Corto;6700010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31 ;;;;;;;;;;;;;;136 ;;;;;;;;;;;;;;;;;;;92 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;259 
BUENOS AIRES;Saavedra;Espartillar;6700040;;;;;;;;;;;;;;;;;;;79 ;;;;;;;;;;;;;;;;;;;;;;;;314 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;393 
BUENOS AIRES;Saavedra;Goyena;6700050;;;;;;;;;;;;;;;;;;;;;;;;;;44 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44 
BUENOS AIRES;Saavedra;Pigü;6700060;;;;;;;;;;;;;;;;23 ;;;;;;;;62 ;;;;;;;;;111 ;;;;;;;;;;4.119 ;;;;;;;;;;;;;;;;;;;450 ;;;;;;;;;;;;;;;;;;;;;;93 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.858 
BUENOS AIRES;Saavedra;Saavedra;6700070;;;;;;;;;;;;;;;;;;;;;;;;30 ;;;;;;;;;;;;;1 ;;;;;;;;;;;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32 
BUENOS AIRES;Saladillo;Alvarez de Toledo;6707010;;;;;;;;;;;;;;;;;;;18 ;;;;;;;22 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40 
BUENOS AIRES;Saladillo;Cazó;6707030;;;;;;;;;;;;;;;;;;;19 ;;;;;;;26 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45 
